,mean_sea_ice_concentration,sea_ice_extent,miz_ice_extent
2003-05-04,0.835,600000000000.0,185625000000.0
2003-05-05,0.824,611250000000.0,211875000000.0
2003-05-06,0.824,593750000000.0,226250000000.0
2003-05-07,0.832,585000000000.0,206875000000.0
2003-05-08,0.824,585000000000.0,233125000000.0
2003-05-09,0.834,582500000000.0,209375000000.0
2003-05-10,0.839,573750000000.0,200000000000.0
2003-05-11,0.851,570625000000.0,170625000000.0
2003-05-12,0.85,573750000000.0,161875000000.0
2003-05-13,0.856,566250000000.0,151250000000.0
2003-05-14,0.853,576250000000.0,163125000000.0
2003-05-15,0.851,581875000000.0,175625000000.0
2003-05-16,0.842,585625000000.0,225000000000.0
2003-05-17,0.818,583750000000.0,264375000000.0
2003-05-18,0.821,581250000000.0,253125000000.0
2003-05-19,0.815,585625000000.0,248750000000.0
2003-05-20,0.82,577500000000.0,219375000000.0
2003-05-21,0.831,577500000000.0,199375000000.0
2003-05-22,0.809,581250000000.0,253750000000.0
2003-05-23,0.774,594375000000.0,301875000000.0
2003-05-24,0.775,594375000000.0,303125000000.0
2003-05-25,0.787,593125000000.0,290625000000.0
2003-05-26,0.8,586250000000.0,274375000000.0
2003-05-27,0.786,586250000000.0,280000000000.0
2003-05-28,0.791,568750000000.0,261250000000.0
2003-05-29,0.791,565000000000.0,251875000000.0
2003-05-30,0.782,558125000000.0,256875000000.0
2003-05-31,0.788,545625000000.0,260625000000.0
2003-06-01,0.758,548750000000.0,298750000000.0
2003-06-02,0.766,550000000000.0,303125000000.0
2003-06-03,0.771,553125000000.0,298125000000.0
2003-06-04,0.759,555625000000.0,342500000000.0
2003-06-05,0.759,551875000000.0,338750000000.0
2003-06-06,0.758,553125000000.0,337500000000.0
2003-06-07,0.761,551250000000.0,318125000000.0
2003-06-08,0.767,543125000000.0,292500000000.0
2003-06-09,0.758,541250000000.0,315625000000.0
2003-06-10,0.779,543125000000.0,278125000000.0
2003-06-11,0.796,540625000000.0,250000000000.0
2003-06-12,0.782,540000000000.0,268125000000.0
2003-06-13,0.794,540000000000.0,258750000000.0
2003-06-14,0.796,543750000000.0,261875000000.0
2003-06-15,0.779,548750000000.0,282500000000.0
2003-06-16,0.761,553750000000.0,281250000000.0
2003-06-17,0.752,559375000000.0,293125000000.0
2003-06-18,0.768,549375000000.0,281250000000.0
2003-06-19,0.726,542500000000.0,333125000000.0
2003-06-20,0.708,533750000000.0,320000000000.0
2003-06-21,0.697,546250000000.0,343750000000.0
2003-06-22,0.703,541250000000.0,316250000000.0
2003-06-23,0.681,526875000000.0,353125000000.0
2003-06-24,0.664,533125000000.0,367500000000.0
2003-06-25,0.683,529375000000.0,345000000000.0
2003-06-26,0.688,516875000000.0,341875000000.0
2003-06-27,0.722,479375000000.0,292500000000.0
2003-06-28,0.641,482500000000.0,376250000000.0
2003-06-29,0.647,472500000000.0,358750000000.0
2003-06-30,0.658,486875000000.0,356250000000.0
2003-07-01,0.638,502500000000.0,386875000000.0
2003-07-02,0.642,501875000000.0,380625000000.0
2003-07-03,0.656,492500000000.0,350625000000.0
2003-07-04,0.657,484375000000.0,351875000000.0
2003-07-05,0.649,481875000000.0,341875000000.0
2003-07-06,0.662,470000000000.0,330000000000.0
2003-07-07,0.662,474375000000.0,330000000000.0
2003-07-08,0.693,466250000000.0,305625000000.0
2003-07-09,0.698,441875000000.0,286875000000.0
2003-07-10,0.709,448125000000.0,290000000000.0
2003-07-11,0.681,450625000000.0,299375000000.0
2003-07-12,0.696,436250000000.0,288750000000.0
2003-07-13,0.758,413125000000.0,245000000000.0
2003-07-14,0.731,413750000000.0,256875000000.0
2003-07-15,0.701,417500000000.0,271250000000.0
2003-07-16,0.675,413125000000.0,273125000000.0
2003-07-17,0.658,412500000000.0,283750000000.0
2003-07-18,0.644,402500000000.0,273750000000.0
2003-07-19,0.641,408750000000.0,285625000000.0
2003-07-20,0.615,396250000000.0,278125000000.0
2003-07-21,0.621,383125000000.0,262500000000.0
2003-07-22,0.628,375000000000.0,256875000000.0
2003-07-23,0.62,358750000000.0,255000000000.0
2003-07-24,0.648,356250000000.0,251250000000.0
2003-07-25,0.654,336875000000.0,238750000000.0
2003-07-26,0.683,295625000000.0,201250000000.0
2003-07-27,0.635,300000000000.0,226875000000.0
2003-07-28,0.644,280000000000.0,209375000000.0
2003-07-29,0.591,291250000000.0,233125000000.0
2003-07-30,0.579,291875000000.0,236875000000.0
2003-07-31,0.573,278750000000.0,227500000000.0
2003-08-01,0.542,279375000000.0,226250000000.0
2003-08-02,0.583,286875000000.0,220625000000.0
2003-08-03,0.569,292500000000.0,228125000000.0
2003-08-04,0.549,289375000000.0,233750000000.0
2003-08-05,0.558,279375000000.0,218750000000.0
2003-08-06,0.556,290000000000.0,225000000000.0
2003-08-07,0.558,286250000000.0,228125000000.0
2003-08-08,0.577,246250000000.0,196250000000.0
2003-08-09,0.596,236875000000.0,191875000000.0
2003-08-10,0.65,188750000000.0,163750000000.0
2003-08-11,0.54,217500000000.0,186875000000.0
2003-08-12,0.511,218750000000.0,183125000000.0
2003-08-13,0.503,206250000000.0,179375000000.0
2003-08-14,0.513,185000000000.0,156250000000.0
2003-08-15,0.54,165625000000.0,144375000000.0
2003-08-16,0.575,142500000000.0,116250000000.0
2003-08-17,0.522,150000000000.0,141875000000.0
2003-08-18,0.561,131250000000.0,123750000000.0
2003-08-19,0.519,129375000000.0,121250000000.0
2003-08-20,0.497,148750000000.0,135625000000.0
2003-08-21,0.499,140000000000.0,128125000000.0
2003-08-22,0.508,126250000000.0,116875000000.0
2003-08-23,0.515,123750000000.0,116250000000.0
2003-08-24,0.512,126875000000.0,116250000000.0
2003-08-25,0.499,126875000000.0,115000000000.0
2003-08-26,0.515,121250000000.0,102500000000.0
2003-08-27,0.5,121250000000.0,105625000000.0
2003-08-28,0.499,118750000000.0,103125000000.0
2003-08-29,0.516,115000000000.0,96875000000.0
2003-08-30,0.516,118750000000.0,100625000000.0
2003-08-31,0.598,113750000000.0,86250000000.0
2003-09-01,0.679,95000000000.0,65000000000.0
2003-09-02,0.671,92500000000.0,63750000000.0
2003-09-03,0.608,100000000000.0,79375000000.0
2003-09-04,0.604,116250000000.0,88750000000.0
2003-09-05,0.583,133750000000.0,99375000000.0
2003-09-06,0.655,109375000000.0,75625000000.0
2003-09-07,0.783,96250000000.0,53125000000.0
2003-09-08,0.691,106250000000.0,71875000000.0
2003-09-09,0.685,101875000000.0,66875000000.0
2003-09-10,0.64,110625000000.0,76875000000.0
2003-09-11,0.645,108125000000.0,72500000000.0
2003-09-12,0.708,116875000000.0,58750000000.0
2003-09-13,0.712,133750000000.0,65625000000.0
2003-09-14,0.759,118750000000.0,53125000000.0
2003-09-15,0.735,118750000000.0,56875000000.0
2003-09-16,0.733,120000000000.0,56875000000.0
2003-09-17,0.746,119375000000.0,55625000000.0
2003-09-18,0.798,129375000000.0,53750000000.0
2003-09-19,0.802,155000000000.0,60625000000.0
2003-09-20,0.707,191875000000.0,103750000000.0
2003-09-21,0.773,157500000000.0,73125000000.0
2003-09-22,0.771,158125000000.0,71875000000.0
2003-09-23,0.775,166875000000.0,73750000000.0
2003-09-24,0.762,167500000000.0,80000000000.0
2003-09-25,0.717,188750000000.0,100625000000.0
2003-09-26,0.741,228125000000.0,116250000000.0
2003-09-27,0.806,228125000000.0,104375000000.0
2003-09-28,0.813,227500000000.0,88125000000.0
2003-09-29,0.856,262500000000.0,70625000000.0
2003-09-30,0.854,248750000000.0,77500000000.0
2003-10-01,0.813,250000000000.0,108125000000.0
2003-10-02,0.825,273750000000.0,95000000000.0
2003-10-03,0.817,289375000000.0,116875000000.0
2003-10-04,0.814,300625000000.0,121875000000.0
2003-10-05,0.811,329375000000.0,129375000000.0
2003-10-06,0.81,343750000000.0,135625000000.0
2003-10-07,0.811,345000000000.0,126875000000.0
2003-10-08,0.847,351250000000.0,108750000000.0
2003-10-09,0.846,362500000000.0,110000000000.0
2003-10-10,0.863,348750000000.0,103750000000.0
2003-10-11,0.839,375000000000.0,128750000000.0
2003-10-12,0.856,362500000000.0,105000000000.0
2003-10-13,0.875,366875000000.0,90625000000.0
2003-10-14,0.859,377500000000.0,105000000000.0
2003-10-15,0.871,381875000000.0,95000000000.0
2003-10-16,0.865,391250000000.0,107500000000.0
2003-10-17,0.868,401250000000.0,100625000000.0
2003-10-18,0.885,393750000000.0,85000000000.0
2003-10-19,0.876,401875000000.0,98125000000.0
2003-10-20,0.873,403125000000.0,110625000000.0
2003-10-21,0.885,419375000000.0,95000000000.0
2003-10-22,0.893,433125000000.0,88750000000.0
2003-10-23,0.881,448125000000.0,103125000000.0
2003-10-24,0.893,426875000000.0,91250000000.0
2003-10-25,0.885,434375000000.0,96875000000.0
2003-10-26,0.875,425625000000.0,122500000000.0
2003-10-27,0.838,439375000000.0,149375000000.0
2003-10-28,0.84,420625000000.0,140000000000.0
2003-10-29,0.86,420000000000.0,117500000000.0
2003-10-30,0.851,430000000000.0,123125000000.0
2003-10-31,0.854,418750000000.0,122500000000.0
2003-11-01,0.856,426875000000.0,120625000000.0
2003-11-02,0.846,431250000000.0,131875000000.0
2003-11-03,0.853,425625000000.0,124375000000.0
2003-11-04,0.851,427500000000.0,118125000000.0
2003-11-05,0.852,420000000000.0,120000000000.0
2003-11-06,0.869,414375000000.0,106250000000.0
2003-11-07,0.888,408750000000.0,88750000000.0
2003-11-08,0.882,404375000000.0,93125000000.0
2003-11-09,0.887,422500000000.0,93125000000.0
2003-11-10,0.883,425625000000.0,103750000000.0
2003-11-11,0.887,429375000000.0,97500000000.0
2003-11-12,0.889,440625000000.0,96875000000.0
2003-11-13,0.873,441875000000.0,106875000000.0
2003-11-14,0.881,433750000000.0,95625000000.0
2003-11-15,0.88,436875000000.0,98125000000.0
2003-11-16,0.884,441250000000.0,91250000000.0
2003-11-17,0.884,444375000000.0,94375000000.0
2003-11-18,0.874,446250000000.0,100000000000.0
2003-11-19,0.872,447500000000.0,100625000000.0
2003-11-20,0.884,441875000000.0,89375000000.0
2003-11-21,0.894,448750000000.0,83125000000.0
2003-11-22,0.896,461250000000.0,83750000000.0
2003-11-23,0.896,463750000000.0,85000000000.0
2003-11-24,0.896,458125000000.0,89375000000.0
2003-11-25,0.892,450000000000.0,90000000000.0
2003-11-26,0.889,431875000000.0,89375000000.0
2003-11-27,0.891,419375000000.0,80000000000.0
2003-11-28,0.889,426250000000.0,86875000000.0
2003-11-29,0.874,435000000000.0,96875000000.0
2003-11-30,0.879,433750000000.0,85000000000.0
2003-12-01,0.891,435625000000.0,84375000000.0
2003-12-02,0.884,447500000000.0,91875000000.0
2003-12-03,0.883,450000000000.0,94375000000.0
2003-12-04,0.886,450000000000.0,92500000000.0
2003-12-05,0.882,464375000000.0,91875000000.0
2003-12-06,0.861,490000000000.0,120000000000.0
2003-12-07,0.876,480625000000.0,103125000000.0
2003-12-08,0.883,486875000000.0,96875000000.0
2003-12-09,0.874,492500000000.0,103750000000.0
2003-12-10,0.875,494375000000.0,108125000000.0
2003-12-11,0.881,488125000000.0,105000000000.0
2003-12-12,0.866,503125000000.0,111250000000.0
2003-12-13,0.866,502500000000.0,116250000000.0
2003-12-14,0.874,502500000000.0,113750000000.0
2003-12-15,0.861,533125000000.0,130625000000.0
2003-12-16,0.87,526875000000.0,121250000000.0
2003-12-17,0.857,543750000000.0,134375000000.0
2003-12-18,0.864,538125000000.0,131250000000.0
2003-12-19,0.854,550625000000.0,143750000000.0
2003-12-20,0.856,557500000000.0,143750000000.0
2003-12-21,0.878,577500000000.0,136875000000.0
2003-12-22,0.876,586250000000.0,148125000000.0
2003-12-23,0.882,579375000000.0,133125000000.0
2003-12-24,0.861,576250000000.0,146875000000.0
2003-12-25,0.856,563125000000.0,150000000000.0
2003-12-26,0.856,565000000000.0,148125000000.0
2003-12-27,0.851,572500000000.0,153125000000.0
2003-12-28,0.845,579375000000.0,164375000000.0
2003-12-29,0.852,590000000000.0,168750000000.0
2003-12-30,0.852,596250000000.0,181875000000.0
2003-12-31,0.837,596250000000.0,185625000000.0
2004-01-01,0.844,578750000000.0,178750000000.0
2004-01-02,0.824,572500000000.0,188750000000.0
2004-01-03,0.839,566875000000.0,174375000000.0
2004-01-04,0.843,578750000000.0,175000000000.0
2004-01-05,0.847,564375000000.0,166250000000.0
2004-01-06,0.828,576250000000.0,186250000000.0
2004-01-07,0.839,576250000000.0,179375000000.0
2004-01-08,0.826,598750000000.0,202500000000.0
2004-01-09,0.832,578750000000.0,180625000000.0
2004-01-10,0.859,534375000000.0,143750000000.0
2004-01-11,0.835,538125000000.0,154375000000.0
2004-01-12,0.841,523750000000.0,140625000000.0
2004-01-13,0.877,493750000000.0,113125000000.0
2004-01-14,0.867,494375000000.0,114375000000.0
2004-01-15,0.853,507500000000.0,129375000000.0
2004-01-16,0.837,521250000000.0,145000000000.0
2004-01-17,0.86,489375000000.0,118750000000.0
2004-01-18,0.882,481875000000.0,104375000000.0
2004-01-19,0.869,493125000000.0,113125000000.0
2004-01-20,0.873,496250000000.0,109375000000.0
2004-01-21,0.864,513125000000.0,125625000000.0
2004-01-22,0.872,504375000000.0,116250000000.0
2004-01-23,0.875,504375000000.0,113750000000.0
2004-01-24,0.788,570625000000.0,189375000000.0
2004-01-25,0.869,500625000000.0,117500000000.0
2004-01-26,0.867,515625000000.0,126250000000.0
2004-01-27,0.859,536875000000.0,137500000000.0
2004-01-28,0.85,546250000000.0,148750000000.0
2004-01-29,0.798,571875000000.0,195625000000.0
2004-01-30,0.843,537500000000.0,148750000000.0
2004-01-31,0.845,538125000000.0,150625000000.0
2004-02-01,0.844,534375000000.0,149375000000.0
2004-02-02,0.848,533125000000.0,144375000000.0
2004-02-03,0.855,534375000000.0,137500000000.0
2004-02-04,0.848,551250000000.0,145625000000.0
2004-02-05,0.841,566875000000.0,151250000000.0
2004-02-06,0.839,565625000000.0,152500000000.0
2004-02-07,0.825,580625000000.0,169375000000.0
2004-02-08,0.852,575000000000.0,148750000000.0
2004-02-09,0.87,595625000000.0,151875000000.0
2004-02-10,0.876,591250000000.0,138750000000.0
2004-02-11,0.857,587500000000.0,156875000000.0
2004-02-12,0.862,582500000000.0,155000000000.0
2004-02-13,0.851,593750000000.0,160000000000.0
2004-02-14,0.869,601875000000.0,158750000000.0
2004-02-15,0.876,603750000000.0,159375000000.0
2004-02-16,0.867,600000000000.0,155000000000.0
2004-02-17,0.872,610000000000.0,163750000000.0
2004-02-18,0.833,616250000000.0,188125000000.0
2004-02-19,0.843,615000000000.0,180000000000.0
2004-02-20,0.843,631875000000.0,183750000000.0
2004-02-21,0.817,645625000000.0,211875000000.0
2004-02-22,0.848,638750000000.0,178750000000.0
2004-02-23,0.82,655000000000.0,210625000000.0
2004-02-24,0.822,642500000000.0,200000000000.0
2004-02-25,0.834,632500000000.0,179375000000.0
2004-02-26,0.852,624375000000.0,157500000000.0
2004-02-27,0.872,641250000000.0,158125000000.0
2004-02-28,0.849,636250000000.0,164375000000.0
2004-02-29,0.846,622500000000.0,166875000000.0
2004-03-01,0.866,617500000000.0,155000000000.0
2004-03-02,0.863,618750000000.0,161875000000.0
2004-03-03,0.864,599375000000.0,156875000000.0
2004-03-04,0.852,600625000000.0,163125000000.0
2004-03-05,0.858,605625000000.0,156875000000.0
2004-03-06,0.866,620000000000.0,162500000000.0
2004-03-07,0.861,623750000000.0,163125000000.0
2004-03-08,0.857,622500000000.0,170625000000.0
2004-03-09,0.859,630625000000.0,161875000000.0
2004-03-10,0.867,635000000000.0,159375000000.0
2004-03-11,0.86,630625000000.0,166875000000.0
2004-03-12,0.847,631250000000.0,175625000000.0
2004-03-13,0.844,624375000000.0,183125000000.0
2004-03-14,0.843,627500000000.0,181250000000.0
2004-03-15,0.843,631875000000.0,178750000000.0
2004-03-16,0.853,641875000000.0,166250000000.0
2004-03-17,0.856,645000000000.0,164375000000.0
2004-03-18,0.861,631875000000.0,160625000000.0
2004-03-19,0.859,625625000000.0,166250000000.0
2004-03-20,0.852,626875000000.0,181875000000.0
2004-03-21,0.85,613750000000.0,178125000000.0
2004-03-22,0.843,603125000000.0,181875000000.0
2004-03-23,0.851,597500000000.0,172500000000.0
2004-03-24,0.845,595000000000.0,175000000000.0
2004-03-25,0.843,596875000000.0,173125000000.0
2004-03-26,0.844,593125000000.0,165625000000.0
2004-03-27,0.849,585625000000.0,164375000000.0
2004-03-28,0.84,580000000000.0,173125000000.0
2004-03-29,0.827,563750000000.0,177500000000.0
2004-03-30,0.829,559375000000.0,176250000000.0
2004-03-31,0.848,540625000000.0,154375000000.0
2004-04-01,0.845,528750000000.0,153750000000.0
2004-04-02,0.857,531875000000.0,142500000000.0
2004-04-03,0.892,520000000000.0,116875000000.0
2004-04-04,0.858,530625000000.0,151250000000.0
2004-04-05,0.833,532500000000.0,158750000000.0
2004-04-06,0.834,532500000000.0,153750000000.0
2004-04-07,0.845,534375000000.0,143750000000.0
2004-04-08,0.842,544375000000.0,149375000000.0
2004-04-09,0.823,526250000000.0,151875000000.0
2004-04-10,0.833,511250000000.0,137500000000.0
2004-04-11,0.858,504375000000.0,120000000000.0
2004-04-12,0.862,509375000000.0,123125000000.0
2004-04-13,0.86,493750000000.0,117500000000.0
2004-04-14,0.856,481250000000.0,118125000000.0
2004-04-15,0.855,470625000000.0,115000000000.0
2004-04-16,0.849,466250000000.0,115000000000.0
2004-04-17,0.861,443125000000.0,103125000000.0
2004-04-18,0.853,433125000000.0,108750000000.0
2004-04-19,0.864,420625000000.0,99375000000.0
2004-04-20,0.89,396875000000.0,78125000000.0
2004-04-21,0.893,390000000000.0,75000000000.0
2004-04-22,0.892,390000000000.0,77500000000.0
2004-04-23,0.887,389375000000.0,85625000000.0
2004-04-24,0.866,391875000000.0,105625000000.0
2004-04-25,0.852,390625000000.0,123125000000.0
2004-04-26,0.859,392500000000.0,119375000000.0
2004-04-27,0.858,396875000000.0,116875000000.0
2004-04-28,0.846,410000000000.0,111250000000.0
2004-04-29,0.863,415625000000.0,100000000000.0
2004-04-30,0.865,420625000000.0,103125000000.0
2004-05-01,0.865,425000000000.0,102500000000.0
2004-05-02,0.859,413750000000.0,103125000000.0
2004-05-03,0.858,410000000000.0,104375000000.0
2004-05-04,0.844,412500000000.0,113750000000.0
2004-05-05,0.832,414375000000.0,128750000000.0
2004-05-06,0.847,403125000000.0,117500000000.0
2004-05-07,0.857,398125000000.0,106250000000.0
2004-05-08,0.864,393750000000.0,102500000000.0
2004-05-09,0.859,396875000000.0,102500000000.0
2004-05-10,0.857,395000000000.0,100000000000.0
2004-05-11,0.865,393750000000.0,97500000000.0
2004-05-12,0.866,394375000000.0,100625000000.0
2004-05-13,0.871,391250000000.0,98125000000.0
2004-05-14,0.872,385625000000.0,93125000000.0
2004-05-15,0.87,389375000000.0,97500000000.0
2004-05-16,0.86,389375000000.0,109375000000.0
2004-05-17,0.842,391875000000.0,116250000000.0
2004-05-18,0.854,382500000000.0,110000000000.0
2004-05-19,0.855,381875000000.0,105000000000.0
2004-05-20,0.854,385625000000.0,103750000000.0
2004-05-21,0.856,392500000000.0,104375000000.0
2004-05-22,0.848,403125000000.0,113750000000.0
2004-05-23,0.835,408750000000.0,126250000000.0
2004-05-24,0.848,400625000000.0,121250000000.0
2004-05-25,0.849,406250000000.0,125625000000.0
2004-05-26,0.847,411875000000.0,123750000000.0
2004-05-27,0.843,418750000000.0,126250000000.0
2004-05-28,0.825,425625000000.0,146875000000.0
2004-05-29,0.797,434375000000.0,181875000000.0
2004-05-30,0.799,430000000000.0,176250000000.0
2004-05-31,0.785,433750000000.0,193750000000.0
2004-06-01,0.766,437500000000.0,228750000000.0
2004-06-02,0.774,431250000000.0,218125000000.0
2004-06-03,0.782,426875000000.0,206250000000.0
2004-06-04,0.77,433125000000.0,208125000000.0
2004-06-05,0.787,423125000000.0,195000000000.0
2004-06-06,0.783,426875000000.0,197500000000.0
2004-06-07,0.77,433750000000.0,217500000000.0
2004-06-08,0.759,442500000000.0,231875000000.0
2004-06-09,0.756,448125000000.0,228125000000.0
2004-06-10,0.755,436250000000.0,238750000000.0
2004-06-11,0.762,425000000000.0,228125000000.0
2004-06-12,0.766,428750000000.0,218750000000.0
2004-06-13,0.754,425000000000.0,231250000000.0
2004-06-14,0.77,420000000000.0,205625000000.0
2004-06-15,0.78,411875000000.0,195000000000.0
2004-06-16,0.773,416875000000.0,195000000000.0
2004-06-17,0.797,411250000000.0,163750000000.0
2004-06-18,0.784,408125000000.0,186875000000.0
2004-06-19,0.783,403750000000.0,186250000000.0
2004-06-20,0.75,414375000000.0,205625000000.0
2004-06-21,0.742,409375000000.0,221875000000.0
2004-06-22,0.759,413750000000.0,195625000000.0
2004-06-23,0.795,404375000000.0,160625000000.0
2004-06-24,0.782,400000000000.0,175000000000.0
2004-06-25,0.777,396875000000.0,181250000000.0
2004-06-26,0.786,403125000000.0,182500000000.0
2004-06-27,0.785,401875000000.0,180000000000.0
2004-06-28,0.766,403750000000.0,201250000000.0
2004-06-29,0.771,397500000000.0,215625000000.0
2004-06-30,0.774,396250000000.0,221250000000.0
2004-07-01,0.741,409375000000.0,243750000000.0
2004-07-02,0.774,398125000000.0,219375000000.0
2004-07-03,0.801,388125000000.0,182500000000.0
2004-07-04,0.759,389375000000.0,207500000000.0
2004-07-05,0.712,400000000000.0,238125000000.0
2004-07-06,0.71,391875000000.0,241875000000.0
2004-07-07,0.722,386250000000.0,237500000000.0
2004-07-08,0.72,381875000000.0,247500000000.0
2004-07-09,0.714,372500000000.0,238125000000.0
2004-07-10,0.698,383125000000.0,254375000000.0
2004-07-11,0.7,372500000000.0,251875000000.0
2004-07-12,0.698,377500000000.0,247500000000.0
2004-07-13,0.683,380000000000.0,255625000000.0
2004-07-14,0.651,370625000000.0,265000000000.0
2004-07-15,0.63,380000000000.0,279375000000.0
2004-07-16,0.654,360625000000.0,268750000000.0
2004-07-17,0.653,361875000000.0,263750000000.0
2004-07-18,0.656,356875000000.0,258750000000.0
2004-07-19,0.662,348750000000.0,250625000000.0
2004-07-20,0.673,326250000000.0,239375000000.0
2004-07-21,0.665,321250000000.0,234375000000.0
2004-07-22,0.642,319375000000.0,241875000000.0
2004-07-23,0.64,306875000000.0,235625000000.0
2004-07-24,0.717,278125000000.0,191250000000.0
2004-07-25,0.691,268125000000.0,201250000000.0
2004-07-26,0.637,289375000000.0,226250000000.0
2004-07-27,0.662,280625000000.0,208750000000.0
2004-07-28,0.712,248750000000.0,176875000000.0
2004-07-29,0.584,280000000000.0,226250000000.0
2004-07-30,0.595,285625000000.0,223750000000.0
2004-07-31,0.564,276875000000.0,225625000000.0
2004-08-01,0.546,268125000000.0,216250000000.0
2004-08-02,0.568,240000000000.0,189375000000.0
2004-08-03,0.58,240625000000.0,181250000000.0
2004-08-04,0.632,213750000000.0,157500000000.0
2004-08-05,0.699,185000000000.0,126875000000.0
2004-08-06,0.56,227500000000.0,177500000000.0
2004-08-07,0.567,224375000000.0,171875000000.0
2004-08-08,0.608,201250000000.0,149375000000.0
2004-08-09,0.619,191250000000.0,140625000000.0
2004-08-10,0.595,206250000000.0,153750000000.0
2004-08-11,0.602,209375000000.0,151875000000.0
2004-08-12,0.61,211250000000.0,145000000000.0
2004-08-13,0.617,198750000000.0,144375000000.0
2004-08-14,0.603,191250000000.0,140625000000.0
2004-08-15,0.613,186250000000.0,130625000000.0
2004-08-16,0.624,166875000000.0,115625000000.0
2004-08-17,0.643,155625000000.0,106875000000.0
2004-08-18,0.631,155000000000.0,106875000000.0
2004-08-19,0.643,153125000000.0,105625000000.0
2004-08-20,0.628,154375000000.0,109375000000.0
2004-08-21,0.603,161250000000.0,114375000000.0
2004-08-22,0.621,151250000000.0,108750000000.0
2004-08-23,0.627,150000000000.0,104375000000.0
2004-08-24,0.626,148750000000.0,105000000000.0
2004-08-25,0.632,144375000000.0,102500000000.0
2004-08-26,0.638,149375000000.0,102500000000.0
2004-08-27,0.643,141250000000.0,98750000000.0
2004-08-28,0.693,130625000000.0,83125000000.0
2004-08-29,0.665,135625000000.0,90625000000.0
2004-08-30,0.674,136875000000.0,89375000000.0
2004-08-31,0.686,139375000000.0,86250000000.0
2004-09-01,0.769,131250000000.0,65625000000.0
2004-09-02,0.707,132500000000.0,81250000000.0
2004-09-03,0.815,109375000000.0,51250000000.0
2004-09-04,0.713,146250000000.0,84375000000.0
2004-09-05,0.696,141875000000.0,87500000000.0
2004-09-06,0.698,128125000000.0,71250000000.0
2004-09-07,0.726,131875000000.0,64375000000.0
2004-09-08,0.741,136875000000.0,66250000000.0
2004-09-09,0.737,155000000000.0,80625000000.0
2004-09-10,0.745,143750000000.0,70000000000.0
2004-09-11,0.762,140625000000.0,63125000000.0
2004-09-12,0.802,156250000000.0,60000000000.0
2004-09-13,0.784,156250000000.0,70625000000.0
2004-09-14,0.785,151250000000.0,66250000000.0
2004-09-15,0.762,161875000000.0,76250000000.0
2004-09-16,0.787,160625000000.0,68750000000.0
2004-09-17,0.792,161250000000.0,70625000000.0
2004-09-18,0.776,160625000000.0,80625000000.0
2004-09-19,0.781,160000000000.0,79375000000.0
2004-09-20,0.774,165000000000.0,83750000000.0
2004-09-21,0.787,162500000000.0,71250000000.0
2004-09-22,0.811,169375000000.0,66250000000.0
2004-09-23,0.799,179375000000.0,76875000000.0
2004-09-24,0.821,182500000000.0,63750000000.0
2004-09-25,0.812,200625000000.0,81875000000.0
2004-09-26,0.837,196250000000.0,66250000000.0
2004-09-27,0.841,190000000000.0,63125000000.0
2004-09-28,0.828,193750000000.0,75000000000.0
2004-09-29,0.796,208750000000.0,94375000000.0
2004-09-30,0.827,225625000000.0,81875000000.0
2004-10-01,0.819,211250000000.0,80000000000.0
2004-10-02,0.804,220000000000.0,85625000000.0
2004-10-03,0.808,238125000000.0,89375000000.0
2004-10-04,0.839,238125000000.0,73750000000.0
2004-10-05,0.865,249375000000.0,64375000000.0
2004-10-06,0.858,275000000000.0,73750000000.0
2004-10-07,0.859,275000000000.0,76875000000.0
2004-10-08,0.861,280625000000.0,80625000000.0
2004-10-09,0.865,282500000000.0,79375000000.0
2004-10-10,0.865,275625000000.0,75000000000.0
2004-10-11,0.829,299375000000.0,100000000000.0
2004-10-12,0.819,320000000000.0,115000000000.0
2004-10-13,0.817,335625000000.0,120625000000.0
2004-10-14,0.844,340000000000.0,110000000000.0
2004-10-15,0.863,358125000000.0,91250000000.0
2004-10-16,0.847,361250000000.0,103125000000.0
2004-10-17,0.799,362500000000.0,144375000000.0
2004-10-18,0.791,347500000000.0,134375000000.0
2004-10-19,0.855,346250000000.0,101875000000.0
2004-10-20,0.86,361250000000.0,95000000000.0
2004-10-21,0.855,363125000000.0,98125000000.0
2004-10-22,0.836,361250000000.0,110625000000.0
2004-10-23,0.855,363125000000.0,94375000000.0
2004-10-24,0.852,368125000000.0,96875000000.0
2004-10-25,0.836,377500000000.0,110000000000.0
2004-10-26,0.854,374375000000.0,100625000000.0
2004-10-27,0.872,384375000000.0,94375000000.0
2004-10-28,0.888,395625000000.0,85625000000.0
2004-10-29,0.864,398750000000.0,102500000000.0
2004-10-30,0.837,409375000000.0,118125000000.0
2004-10-31,0.874,386250000000.0,92500000000.0
2004-11-01,0.878,408125000000.0,93125000000.0
2004-11-02,0.87,408125000000.0,98125000000.0
2004-11-03,0.863,416250000000.0,101875000000.0
2004-11-04,0.851,407500000000.0,107500000000.0
2004-11-05,0.856,396875000000.0,102500000000.0
2004-11-06,0.883,395000000000.0,88750000000.0
2004-11-07,0.855,402500000000.0,101875000000.0
2004-11-08,0.85,419375000000.0,109375000000.0
2004-11-09,0.866,415000000000.0,96250000000.0
2004-11-10,0.865,428125000000.0,107500000000.0
2004-11-11,0.743,513125000000.0,204375000000.0
